gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000001120	208	176	181	224	121	46	76	97
ENSMUSG00000001123	1194	1370	1002	1589	957	572	494	559
ENSMUSG00000001127	2503	2883	2319	2985	3304	1888	2200	3106
ENSMUSG00000001128	249	158	181	219	349	167	195	321
ENSMUSG00000001131	179	180	181	275	72	68	33	45
ENSMUSG00000001134	217	258	246	250	354	203	302	333
ENSMUSG00000001138	848	864	822	1173	775	436	471	532
ENSMUSG00000001143	920	855	820	1041	1131	552	704	1086
ENSMUSG00000001150	1667	1978	1590	2265	1367	728	1003	1287
ENSMUSG00000001151	1648	1992	1877	2514	3761	1807	2996	3969
ENSMUSG00000001155	84	106	93	110	5	1	7	10
ENSMUSG00000001156	252	274	279	368	506	220	234	325
ENSMUSG00000001157	493	574	516	553	387	271	213	312
ENSMUSG00000001158	623	754	654	697	911	567	701	923
ENSMUSG00000001166	30	18	16	36	19	18	19	19
ENSMUSG00000001168	0	0	0	0	0	0	0	0
ENSMUSG00000001173	1053	1339	1050	1448	965	566	619	865
ENSMUSG00000001175	8543	9004	7931	9114	8158	5008	5471	7570
ENSMUSG00000001211	6185	7555	5547	8024	7431	3946	5961	9336
ENSMUSG00000001225	27	22	37	55	87	49	102	127
ENSMUSG00000001227	184	216	149	178	299	135	312	283
ENSMUSG00000001228	1654	1673	1565	1840	69	86	30	62
ENSMUSG00000001229	1191	1283	1023	1490	2005	1051	1392	1980
ENSMUSG00000001240	1368	1356	971	1587	1124	540	931	880
ENSMUSG00000001247	123	72	60	151	55	57	59	62
ENSMUSG00000001248	1576	1742	1376	2052	1589	894	1208	1475
ENSMUSG00000001249	41	64	36	72	81	46	61	110
ENSMUSG00000001260	1	0	0	1	1	0	0	0
ENSMUSG00000001270	1939	1970	2119	2466	1421	651	681	880
ENSMUSG00000001280	2893	3412	2767	3652	3013	1723	1441	1987
ENSMUSG00000001281	13	7	3	7	43	25	57	61
ENSMUSG00000001285	500	517	439	567	374	211	269	412
ENSMUSG00000001288	391	476	302	519	790	420	555	771
ENSMUSG00000001289	1746	2094	1792	2162	1951	1161	1832	2275
ENSMUSG00000001300	1651	1712	1377	1851	1330	795	778	983
ENSMUSG00000001305	312	345	286	331	230	151	159	234
ENSMUSG00000001313	187	151	132	218	122	82	78	105
ENSMUSG00000001323	1042	1198	1044	1348	1231	679	682	1054
ENSMUSG00000001333	167	271	212	237	1150	606	812	1188
ENSMUSG00000001334	2792	3163	2652	3429	15223	7533	11369	14517
ENSMUSG00000001348	76	42	37	59	86	72	35	52
ENSMUSG00000001349	620	432	535	566	181	216	79	107
ENSMUSG00000001366	1439	1621	1477	1536	1333	764	773	1543
ENSMUSG00000001376	855	1027	844	943	959	565	671	897
ENSMUSG00000001380	1189	1424	1234	1680	1298	680	915	1398
ENSMUSG00000001383	1298	1382	1280	1470	1157	811	906	1204
ENSMUSG00000001403	1273	1099	1187	1169	30	29	35	135
ENSMUSG00000001415	2151	2287	2040	2980	2885	1403	2109	2593
ENSMUSG00000001416	3549	4084	3757	4505	3969	2160	2799	4095
ENSMUSG00000001417	6	6	3	4	4	3	1	4
ENSMUSG00000001418	870	982	762	1175	1216	591	834	1032
ENSMUSG00000001419	5467	7070	4943	7596	6955	3599	4652	7524
ENSMUSG00000001420	15	5	7	17	6	6	5	5
ENSMUSG00000001424	2776	2975	2641	3808	2404	1497	2196	2639
ENSMUSG00000001435	5351	5421	4676	7173	1010	732	341	461
ENSMUSG00000001436	175	175	151	226	165	94	103	163
ENSMUSG00000001440	8784	9560	8742	10448	6799	3588	3885	5793
ENSMUSG00000001441	3386	3890	3642	3814	3682	2005	2393	3804
ENSMUSG00000001444	1	1	0	3	0	1	4	3
ENSMUSG00000001445	1114	1338	1154	1483	2244	1055	1444	2027
ENSMUSG00000001467	1194	1677	1392	1321	940	529	532	815
ENSMUSG00000001472	5596	6464	5191	7168	6305	3396	4454	5915
ENSMUSG00000001473	1768	1855	1622	2224	584	342	287	523
ENSMUSG00000001482	1428	1623	1446	1919	2674	1235	1852	2378
ENSMUSG00000001493	624	915	622	846	304	220	140	166
ENSMUSG00000001494	222	295	225	323	37	81	3	30
ENSMUSG00000001496	129	0	0	0	0	0	0	0
ENSMUSG00000001497	1	1	1	0	7	3	3	2
